201,34.06,598.00
202,0.00,598.00
203,218.71,598.00
204,247.30,598.00
205,42.55,598.00
206,54.15,598.00
207,0.00,598.00
208,217.34,598.00
209,212.77,598.00
210,382.48,598.00
211,10.17,598.00
212,0.00,598.00
213,45.07,598.00
214,7.25,598.00
215,233.67,598.00
216,5.70,598.00
217,40.72,598.00
218,42.79,598.00
219,34.11,598.00
220,0.00,598.00
221,0.00,598.00
222,30.66,598.00
223,236.71,598.00
224,216.13,598.00
225,187.92,598.00
226,0.00,598.00
227,206.63,598.00
228,0.00,598.00
229,189.48,598.00
230,73.98,598.00
231,0.89,598.00
232,0.63,598.00
233,246.16,598.00
234,212.42,598.00
235,47.34,598.00
236,172.44,598.00
237,4.68,598.00
238,115.10,598.00
239,36.05,598.00
240,0.00,598.00
241,194.12,598.00
242,95.20,598.00
243,0.00,598.00
244,0.00,598.00
245,41.14,598.00
246,38.85,598.00
247,49.50,598.00
248,237.32,598.00
249,86.19,598.00
250,53.31,598.00
251,208.48,598.00
252,23.95,598.00
253,73.11,598.00
254,0.00,598.00
255,198.43,598.00
256,8.55,598.00
257,19.59,598.00
258,4.51,598.00
259,40.78,598.00
260,264.06,598.00
261,141.16,598.00
262,274.22,598.00
263,0.00,598.00
264,90.76,598.00
265,298.83,598.00
266,0.99,598.00
267,218.78,598.00
268,0.00,598.00
269,0.00,598.00
270,57.41,598.00
271,0.00,598.00
272,275.36,598.00
273,0.78,598.00
274,42.65,598.00
275,0.00,598.00
276,0.00,598.00
277,118.40,598.00
278,49.33,598.00
279,7.33,598.00
280,194.79,598.00
281,244.24,598.00
282,32.70,598.00
283,7.37,598.00
284,0.00,598.00
285,37.11,598.00
286,0.00,598.00
287,0.00,598.00
288,76.19,598.00
289,49.09,598.00
290,0.00,598.00
291,32.40,598.00
292,436.13,598.00
293,0.00,598.00
294,51.07,598.00
295,0.00,598.00
296,0.00,598.00
297,319.56,598.00
298,131.17,598.00
299,69.41,598.00
300,0.00,598.00
301,264.42,598.00
302,33.89,598.00
303,33.56,598.00
304,106.04,598.00
305,5.44,598.00
306,22.31,598.00
307,83.53,598.00
308,617.73,617.73
309,31.69,617.73
310,0.00,617.73
311,0.00,617.73
312,65.72,617.73
313,217.34,617.73
314,209.02,617.73
315,34.69,617.73
316,244.98,617.73
317,361.24,617.73
318,215.65,617.73
319,86.78,617.73
320,34.46,617.73
321,0.00,617.73
322,677.02,677.02
323,42.83,677.02
324,253.89,677.02
325,31.29,677.02
326,86.32,677.02
327,4.55,677.02
328,242.79,677.02
329,0.63,677.02
330,0.00,677.02
331,54.40,677.02
332,42.65,677.02
333,197.81,677.02
334,105.10,677.02
335,33.27,677.02
336,4.60,677.02
337,50.33,677.02
338,52.55,677.02
339,302.59,677.02
340,0.00,677.02
341,37.01,677.02
342,151.04,677.02
343,41.51,677.02
344,157.24,677.02
345,270.13,677.02
346,217.38,677.02
347,0.00,677.02
348,113.48,677.02
349,31.92,677.02
350,0.00,677.02
351,0.00,677.02
352,5.62,677.02
353,33.16,677.02
354,0.00,677.02
355,0.00,677.02
356,143.02,677.02
357,64.46,677.02
358,0.00,677.02
359,328.89,677.02
360,82.59,677.02
361,54.11,677.02
362,0.00,677.02
363,277.83,677.02
364,45.66,677.02
365,0.00,677.02
366,228.99,677.02
367,315.14,677.02
368,82.10,677.02
369,21.26,677.02
370,265.47,677.02
371,0.00,677.02
372,199.69,677.02
373,3.01,677.02
374,33.75,677.02
375,0.00,677.02
376,128.09,677.02
377,6.47,677.02
378,124.45,677.02
379,103.33,677.02
380,0.00,677.02
381,358.93,677.02
382,0.00,677.02
383,228.78,677.02
384,44.77,677.02
385,295.35,677.02
386,0.68,677.02
387,0.00,677.02
388,0.00,677.02
389,4.94,677.02
390,51.48,677.02
391,274.52,677.02
392,40.09,677.02
393,34.44,677.02
394,6.76,677.02
395,0.00,677.02
396,0.00,677.02
397,74.02,677.02
398,232.99,677.02
399,256.11,677.02
400,51.27,677.02
401,67.64,677.02
402,28.28,677.02
403,0.00,677.02
404,76.16,677.02
405,212.90,677.02
